simulation_name,sim_type,m_value,rep_index,overall_return,commit_return,n,n_repetitions
etc_standard,run,4000.0,46,-0.0531,0.3066666666666666,10000,100
etc_standard,run,4000.0,47,-0.0193,0.3053333333333333,10000,100
etc_standard,run,4000.0,48,-0.1294,0.1561666666666666,10000,100
etc_standard,run,4000.0,49,-0.0963,0.2616666666666666,10000,100
etc_standard,run,4000.0,50,-0.3002,-0.0415,10000,100
etc_standard,run,4000.0,51,-0.1057,0.2443333333333333,10000,100
etc_standard,run,4000.0,52,-0.127,0.1825,10000,100
etc_standard,run,4000.0,53,-0.0812,0.2233333333333333,10000,100
etc_standard,run,4000.0,54,-0.0988,0.1688333333333333,10000,100
etc_standard,run,4000.0,55,-0.2045,0.0963333333333333,10000,100
etc_standard,run,4000.0,56,-0.1578,0.19,10000,100
etc_standard,run,4000.0,57,-0.1982,0.0951666666666666,10000,100
etc_standard,run,4000.0,58,-0.1024,0.1641666666666666,10000,100
etc_standard,run,4000.0,59,-0.0164,0.392,10000,100
etc_standard,run,4000.0,60,-0.0906,0.2431666666666666,10000,100
etc_standard,run,4000.0,61,-0.1426,0.1706666666666666,10000,100
etc_standard,run,4000.0,62,-0.1035,0.2285,10000,100
etc_standard,run,4000.0,63,-0.0585,0.2498333333333333,10000,100
etc_standard,run,4000.0,64,-0.0809,0.2286666666666666,10000,100
etc_standard,run,4000.0,65,0.0405,0.4341666666666666,10000,100
etc_standard,run,4000.0,66,-0.0908,0.239,10000,100
etc_standard,run,4000.0,67,-0.2066,0.0931666666666666,10000,100
etc_standard,run,4000.0,68,-0.0992,0.2476666666666666,10000,100
etc_standard,run,4000.0,69,-0.1737,0.1916666666666666,10000,100
etc_standard,run,4000.0,70,-0.1374,0.2468333333333333,10000,100
etc_standard,run,4000.0,71,0.0535,0.4173333333333333,10000,100
etc_standard,run,4000.0,72,-0.1399,0.2115,10000,100
etc_standard,run,4000.0,73,-0.0866,0.1263333333333333,10000,100
etc_standard,run,4000.0,74,-0.0698,0.2923333333333333,10000,100
etc_standard,run,4000.0,75,-0.192,0.107,10000,100
etc_standard,run,4000.0,76,-0.0412,0.3335,10000,100
etc_standard,run,4000.0,77,-0.1753,0.1078333333333333,10000,100
etc_standard,run,4000.0,78,-0.0705,0.2683333333333333,10000,100
etc_standard,run,4000.0,79,-0.2942,-0.0625,10000,100
etc_standard,run,4000.0,80,-0.1097,0.176,10000,100
etc_standard,run,4000.0,81,-0.127,0.1608333333333333,10000,100
etc_standard,run,4000.0,82,-0.0789,0.2588333333333333,10000,100
etc_standard,run,4000.0,83,-0.2463,0.0958333333333333,10000,100
etc_standard,run,4000.0,84,-0.1743,0.1653333333333333,10000,100
etc_standard,run,4000.0,85,-0.1696,0.0958333333333333,10000,100
etc_standard,run,4000.0,86,-0.2476,0.0876666666666666,10000,100
etc_standard,run,4000.0,87,0.0066,0.3665,10000,100
etc_standard,run,4000.0,88,-0.0013,0.401,10000,100
etc_standard,run,4000.0,89,-0.0963,0.2556666666666666,10000,100
etc_standard,run,4000.0,90,-0.0915,0.269,10000,100
etc_standard,run,4000.0,91,-0.1034,0.2333333333333333,10000,100
